url,Name,
http://www.fallingrain.com/world/DA/a/Y/,,city
http://www.fallingrain.com/world/DA/a/W/,,city
http://www.fallingrain.com/world/DA/airports.html,,Small
http://www.fallingrain.com/world/DA/a/V/,,
http://www.fallingrain.com/world/DA/a/U/,,city
http://www.fallingrain.com/world/DA/a/T/,,
http://www.fallingrain.com/world/DA/a/S/,,
http://www.fallingrain.com/world/DA/a/R/,,
http://www.fallingrain.com/world/DA/a/Q/,,city
http://www.fallingrain.com/world/DA/a/P/,,city
http://www.fallingrain.com/world/DA/18/Yttrup.html,,7.0 nm
http://www.fallingrain.com/world/DA/21/Vejlby.html,,5.1 nm
http://www.fallingrain.com/world/DA/17/Uvelse.html,,4.7 nm
http://www.fallingrain.com/world/DA/21/Kvaers.html,,5.6 nm
http://www.fallingrain.com/world/DA/19/Puthede.html,,6.4 nm
http://www.fallingrain.com/world/DA/19/Purkaer.html,,7.0 nm
http://www.fallingrain.com/world/DA/18/Vium.html,,6.9 nm
http://www.fallingrain.com/world/DA/21/Sonderbygard.html,,4.0 nm
http://www.fallingrain.com/world/DA/a/V/248/,,city
http://www.fallingrain.com/world/DA/21/Dunkaer_Mark.html,,4.5 nm
http://www.fallingrain.com/world/DA/a/T/248/,,city
http://www.fallingrain.com/world/DA/a/S/252/,,city
http://www.fallingrain.com/world/DA/a/R/248/,,city
http://www.fallingrain.com/world/DA/19/Store_Ejstrup.html,,4.1 nm
http://www.fallingrain.com/world/DA/19/Moseby.html,,6.3 nm
http://www.fallingrain.com/world/DA/18/Hindborg.html,,5.7 nm
http://www.fallingrain.com/world/DA/21/Henneberg_Ladegard.html,,2.8 nm
http://www.fallingrain.com/world/DA/21/Vojstrup.html,,3.5 nm
http://www.fallingrain.com/world/DA/21/Strandhuse3.html,,4.1 nm
http://www.fallingrain.com/world/DA/19/Toving.html,,7.2 nm
http://www.fallingrain.com/world/DA/21/Sonder_Vilstrup2.html,,9.5 nm
http://www.fallingrain.com/world/DA/18/Roved_Nedergard.html,,4.9 nm
http://www.fallingrain.com/world/DA/21/Holleskov.html,,7.3 nm
http://www.fallingrain.com/world/DA/19/Hjorring.html,,2.3 nm
http://www.fallingrain.com/world/DA/19/Arentsminde.html,,7.6 nm
http://www.fallingrain.com/world/DA/18/Brondum.html,,4.7 nm
http://www.fallingrain.com/world/DA/21/Skaerbaek.html,,2.8 nm
http://www.fallingrain.com/world/DA/21/Tappernoje.html,,5.0 nm
http://www.fallingrain.com/world/DA/21/Tvaerby.html,,6.4 nm
http://www.fallingrain.com/world/DA/19/Elso.html,,2.8 nm
http://www.fallingrain.com/world/DA/21/Sonderballe.html,,7.3 nm
http://www.fallingrain.com/world/DA/18/Todbjerg.html,,3.4 nm
http://www.fallingrain.com/world/DA/21/Kalvslund.html,,4.7 nm
http://www.fallingrain.com/world/DA/19/Oster_Bronderup.html,,2.1 nm
http://www.fallingrain.com/world/DA/19/Hammershoj.html,,6.3 nm
http://www.fallingrain.com/world/DA/18/Kisum.html,,8.0 nm
http://www.fallingrain.com/world/DA/21/Sonder_Stenderup.html,,3.2 nm
http://www.fallingrain.com/world/DA/21/Lillemark.html,,6.6 nm
http://www.fallingrain.com/world/DA/21/Haven.html,,8.7 nm
http://www.fallingrain.com/world/DA/19/Kirstinedal.html,,3.6 nm
http://www.fallingrain.com/world/DA/21/Lojtkloster.html,,5.4 nm
http://www.fallingrain.com/world/DA/18/LisbjergTerp.html,,1.3 nm
http://www.fallingrain.com/world/DA/21/Seem.html,,6.3 nm
http://www.fallingrain.com/world/DA/19/Abenterp.html,,5.4 nm
http://www.fallingrain.com/world/DA/19/Hornskovgard.html,,8.4 nm
http://www.fallingrain.com/world/DA/18/Mogenstrup3.html,,6.8 nm
http://www.fallingrain.com/world/DA/21/Dalagergard.html,,4.3 nm
http://www.fallingrain.com/world/DA/21/Bjorno_By.html,,6.4 nm
